twitter,name
c_a_gravert,"Gravert, Christina"
3wen,"Gallic, Ewen"
enriquegilles,"Gilles, Enrique"
rowenagray6,"Gray, Rowena"
giampierogallo,"Gallo, Giampiero"
af_giraldo,"Giraldo, Andres"
joshuapell1,"Greenstein, Joshua"
ganglmair,"Ganglmair, Bernhard"
clagirardone,"Girardone, Claudia"
ez_angus,"Grier, Kevin"
inaganguli,"Ganguli, Ina"
yannbgiraud,"Giraud, Yann"
graffagraffa,"Grimaldi, Raffaele"
joshgans,"Gans, Joshua"
stateconomist,"Giudici, Paolo Stefano"
tgrollecon,"Groll, Thomas"
dgarciaecon,"Garcia, Daniel"
c_giulietti,"Giulietti, Corrado"
econoflove,"Grossbard, Shoshana Amyra"
afgarciam,"Garcia-Marin, Alvaro"
gregorygivens,"Givens, Gregory"
rsgrossman,"Grossman, Richard"
beagosma,"Garcia Osma, Beatriz"
eduglaze,"Glazerman, Steven Michael"
vincegw,"Grossmann-Wirth, Vincent"
garciasuaza,"Garcia-Suaza, Andres"
rglenner,"Glennerster, Rachel"
juliagruebler,"Gruebler, Julia"
lugaricano,"Garicano, Luis"
chrisjgodlewski,"Godlewski, Christophe"
ggruere,"Gruère, Guillaume"
agarnero,"Garnero, Andrea"
sebastianjgoerg,"Goerg, Sebastian"
a_guariso,"Guariso, Andrea"
jorgegarzardz,"Garza-Rodriguez, Jorge"
billgoffe,"Goffe, William"
gianniguastella,"Guastella, Gianni"
silviagatti8,"Gatti, Silvia"
avicgoldfarb,"Goldfarb, Avi"
pierreconomics,"Guérin, Pierre"
patricegaubert1,"Gaubert, Patrice"
paulgp,"Goldsmith-Pinkham, Paul"
cgdelizardi,"Guerrero-de-Lizardi, Carlos"
agaudeul,"Gaudeul, Alexia"
rgbetancourt,"Gomez Betancourt, Rebeca"
melguidi,"Guidi, Marco"
patrick_gaule,"Gaulé, Patrick"
joseegomezgo,"Gomez-Gonzalez, Jose Eduardo"
bernardogmrs,"Guimaraes, Bernardo"
ggaulier,"Gaulier, Guillaume"
jagopri,"Gómez Prieto, Javier"
mcguisan,"Guisan, Maria-Carmen"
erwangautier17,"Gautier, Erwan"
glezclarisa,"Gonzalez, Clara"
celineguivarch,"Guivarch, Céline"
a_gavazza,"Gavazza, Alessandro"
manugonzalez76,"Gonzalez-Astudillo, Manuel"
docgundy,"Gunderson, Michael"
agaviriau,"Gaviria, Alejandro"
martingrozada,"Gonzalez-Rozada, Martin"
prabhuguptara,"Guptara, Prabhu"
martinsgaynor,"Gaynor, Martin"
joshuasgoodman,"Goodman, Joshua Samuel"
gtcost,"Gurdgiev, Constantin"
fgeerolf,"Geerolf, François"
austan_goolsbee,"Goolsbee, Austan"
drgurerk,"Gürerk, Özgür"
bjoerngehrmann,"Gehrmann, Björn"
goorha,"Goorha, Prateek"
sguriev,"Guriev, Sergei"
vincentgeloso,"Geloso, Vincent"
stephenfgordon,"Gordon, Stephen"
refetgurkaynak,"Gürkaynak, Refet"
avgevorkyan,"Gevorkyan, Aleksandr"
stefgori73,"Gori, Stefano"
italoguti,"Gutierrez, Italo"
diw_jgeyer,"Geyer, Johannes"
marina_gorsuch,"Gorsuch, Marina Mileo"
gk_ben,"Guttman-Kenney, Benedict"
fabioghironi,"Ghironi, Fabio"
gottliebecon,"Gottlieb, Joshua"
fatihguvenen,"Guvenen, Fatih"
mmghodsi,"Ghodsi, Mohammad Mahdi"
christophegouel,"Gouel, Christophe"
chloergibbs,"Gibbs, Chloe"
francoisgourio,"Gourio, Francois"
tim_env_econ,"Haab, Tim"
scottwhegerty,"Hegerty, Scott William"
louishodey,"Hodey, Louis Sitsofe"
hadzivaskov,"Hadzi-Vaskov, Metodij"
gastonheimeriks,"Heimeriks, Gaston"
jess_hoel,"Hoel, Jessica"
cmhafner,"Hafner, Christian Matthias"
jenniheissel,"Heissel, Jennifer Ann"
mahofste,"Hofstetter, Marc"
mahbub_hakim,"Hakim, Md Mahbubul"
nphendricks,"Hendricks, Nathan"
seamus_hogan,"Hogan, Seamus Davie"
hallamartin,"Halla, Martin"
rebeleconprof,"Hendrickson, Joshua"
t_holden,"Holden, Tom"
ahamg,"Ham, Andrés"
erinhengel,"Hengel, Erin"
cubegrl,"Holder, Kim"
mhmhammer,"Hammer, Matthijs"
henning_m,"Hermes, Henning"
holmes_markj,"Holmes, Mark"
nacereddinehamm,"Hammouda, Nacer-Eddine"
cehernandezecon,"Hernández, Carlos Eduardo"
elkeholst,"Holst, Elke"
elizwebhand,"Handwerker, Elizabeth Weber"
mherreragomez,"Herrera, Marcos"
whoelzl,"Hölzl, Werner"
nadimhanif,"Hanif, Muhammad Nadim"
aherreraj,"Herrera Jiménez, Alejandro"
marioholzner,"Holzner, Mario"
nadeemhaque,"Haque, Nadeem Ul"
zohalhessami,"Hessami, Zohal"
dumsanhompashe,"Hompashe, Dumisani MacDonald"
colmharmon,"Harmon, Colm"
garthheutel,"Heutel, Garth"
johnjhorton,"Horton, John Joseph"
mark4harrison,"Harrison, Mark"
constant_hevia,"Hevia, Constantino"
mh0rvath,"Horvath, Michal"
profdavidharvey,"Harvey, David"
rossatronhickey,"Hickey, Ross"
nhotte,"Hotte, Ngaio"
hasan_zubair,"Hasan, Zubair"
manuj_hidalgo,"Hidalgo, Manuel Alejandro"
danielhowdon,"Howdon, Daniel"
mubariz_hasanov,"Hasanov, Mübariz"
alexanderhijzen,"Hijzen, Alexander"
tonyhuahowell,"Howell, Anthony James"
haskelecon,"Haskel, Jonathan"
chrisalhilber,"Hilber, Christian Albin Lukas"
mathoyos,"Hoyos López, Mateo"
azimeadem,"Hassen, Azime Adem"
trialsolution,"Himics, Mihaly"
competitiveag,"Hudson, Darren"
haucap,"Haucap, Justus"
julianhinz,"Hinz, Julian"
humphreys_brad,"Humphreys, Brad"
olenahavrylchyk,"Havrylchyk, Olena"
keisukehirano,"Hirano, Keisuke"
phuenermund,"Hünermund, Paul"
ckhead,"Head, Keith"
vollcornhirsch,"Hirsch, Cornelius"
nickchk,"Huntington-Klein, Nick"
jonheathcote,"Heathcote, Jonathan"
kallehi,"Hirvonen, Kalle"
ajhurtadob,"Hurtado, Alberto José"
heckmanequation,"Heckman, James"
femme_economics,"Hlatshwayo, Sandile"
huseynovecon,"Huseynov, Samir"
simonhedlin,"Hedlin, Simon"
lshohk,"Ho, Lok Sang"
robjhyndman,"Hyndman, Rob J"
robertoiacono83,"Iacono, Roberto"
ge_inf,"Infante, Gerardo"
ceguir,"Iriarte Rivas, Cesar Gustavo"
iacus,"Iacus, Stefano Maria"
robertinklaar,"Inklaar, Robert"
scottirwinui,"Irwin, Scott"
anamibanez,"Ibáñez, Ana Maria"
profymi,"Ioannides, Yannis"
liveshanto,"Islam, Mohammad Ariful"
julien_idier,"Idier, Julien"
riquiapaza,"Iquiapaza, Robert Aldo"
ilzetzki,"Ilzetzki, Ethan"
pirelandatbc,"Ireland, Peter"
sarahjacobsonec,"Jacobson, Sarah Andrea"
seema_econ,"Jayachandran, Seema"
kmpjones,"Jones, Kelly"
cjadeau,"Jadeau, Christophe"
hjecon,"Jensen, Henrik"
esamjones,"Jones, Sam"
davidajaeger,"Jaeger, David"
sjeworrek,"Jeworrek, Sabrina"
henrikjordahl,"Jordahl, Henrik"
aanjaelani,"Jaelani, Aan"
jfjimenoserrano,"Jimeno, Juan F"
aljosephson,"Josephson, Anna Leigh"
djaimovi,"Jaimovich, Dany"
geraintjohnes,"Johnes, Geraint"
frankjotzo,"Jotzo, Frank"
hyderabadi_chai,"Jain, Tarun"
andrew_m_jones,"Jones, Andrew Michael"
cjoyez,"Joyez, Charlie Marius"
pjakiela,"Jakiela, Pamela"
nomadj1s,"Jones, Damon"
jayajumrani,"Jumrani, Jaya"
djansenresearch,"Jansen, David-Jan"
daniel_b_jones,"Jones, Daniel Brady"
jarmin_ron,"Jarmin, Ron"
garettjones,"Jones, Garett"
mattkahn1966,"Kahn, Matthew"
saroshkhan,"Khan, Sarosh Raza"
monikaturyna,"Köppl-Turyna, Monika Irena"
yukaohno_econ,"Kaiser, Brooks A"
davidkhoudour,"Khoudour-Castéras, David"
korenmiklos,"Koren, Miklós"
kalantzis,"Kalantzis, Yannick"
akibritcioglu,"Kibritcioglu, Aykut"
iikkakorhonen,"Korhonen, Iikka"
kalayci_kenan,"Kalayci, Kenan"
knowledgeprob,"Kiesling, Lynne"
cemkorkut,"Korkut, Cem"
profgenkanter,"Kanter, Genevieve P"
michaelkiley5,"Kiley, Michael T"
liberalkorner,"Körner, Finn Marten"
david_s_kaplan,"Kaplan, David Scott"
mileskimball,"Kimball, Miles Spencer"
dkorobilis,"Korobilis, Dimitris"
2azizati,"Karama, Dalal Toska"
graykimbrough,"Kimbrough, Gray"
ekosack,"Kosack, Edward"
akarbo,"Karbowski, Adam"
kinggary,"King, Gary"
melinakour,"Kourantidou, Melina"
deankarlan,"Karlan, Dean"
stephenkinsella,"Kinsella, Stephen"
gorankovachev,"Kovachev, Goran"
mohitk_,"Karnani, Mohit"
oliverkirui,"Kirui, Oliver Kiptoo"
o_kowalewski,"Kowalewski, Oskar"
sonjakass,"Kassenboehmer, Sonja Cornelia"
barrettkirwan,"Kirwan, Barrett"
markkoyama,"Koyama, Mark"
maxkasy,"Kasy, Maximilian"
mkl4es,"Klaes, Matthias"
ckrafftc,"Krafft, Caroline"
lkatz42,"Katz, Lawrence"
petergklein,"Klein, Peter G"
