twitter,name
joelwwood,"Wood, Joel"
peterwaterman2,"Waterman, Peter"
wiafe11,"Wiafe, Emmanuel Agyapong"
franceswoolley,"Woolley, Frances"
alexdwaters1985,"Waters, Alex"
cjwich,"Wichman, Casey"
wootenomics,"Wooten, Jadrian James"
taraelizwatson,"Watson, Tara Elizabeth"
wielandvolker,"Wieland, Volker"
timsworrall,"Worrall, Timothy Simon"
andrewwatteu,"Watt, Andrew James"
gwilemme,"Wilemme, Guillaume"
sjwrenlewis,"Wren-Lewis, Simon"
mattdwebb,"Webb, Matthew D"
colin_cwilliams,"Williams, Colin"
markljwright,"Wright, Mark"
guoxu_econ,"Xu, Guo"
melanie_xue,"Xue, Melanie Meng"
altugyalcintas,"Yalcintas, Altug"
pjytwitte,"Yang, Peter Jianhua"
angrygirl87,"Younis, Fizza"
amsalu_w,"Yalew, Amsalu Woldie"
yagena,"Yasuda, Yosuke"
erayyucel,"Yücel, Mustafa Eray"
deanyang,"Yang, Dean"
kamilyilmaz_,"Yilmaz, Kamil"
lindayueh,"Yueh, Linda"
guanyiyang,"Yang, Guanyi"
yilmazkuday,"Yilmazkuday, Hakan"
marioszachariad,"Zachariadis, Marios"
stavroszenios,"Zenios, Stavros"
kfzimmermann,"Zimmermann, Klaus"
georgzachmann,"Zachmann, Georg"
yveszenou1,"Zenou, Yves"
zingales,"Zingales, Luigi"
prof_jay_z,"Zagorsky, Jay"
marianazerpa,"Zerpa, Mariana"
jesseaaronzinn,"Zinn, Jesse Aaron"
gema_zamarro,"Zamarro, Gema"
zerpasad,"Zerpa de Hurtado, Sadcidi"
dzochow,"Zochowski, Dawid"
clairezanuso,"Zanuso, Claire"
omzidar,"Zidar, Owen"
gabriel_zucman,"Zucman, Gabriel"
oscarzapatar,"Zapata, Oscar"
thwziesemer,"Ziesemer, Thomas"
mrszed78,"Zweimüller, Martina"
ezegarra3,"Zegarra, Eduardo"
szignago,"Zignago, Soledad"
andrewzeitlin,"Zeitlin, Andrew Forrest"
czimm_economist,"Zimmermann, Christian"
